run,Defaulted Assets,Net Assets,Remaining Bank Assets,Bank Defaults
1,0,3750015.42792066,3715987.13077707,0
1,0,3750128.85557781,3666641.15339961,0
1,0,3750407.1479184,3576785.1499651,0
1,0,3750985.88791158,3539660.42253498,0
1,0,3751690.3061295,3532820.02807177,0
1,0,3752419.87372303,3465075.45702317,0
1,0,3753377.68844536,3473927.71343076,0
1,0,3754309.18836208,3356589.5311297,0
1,0,3755634.92055285,3203159.96325221,0
1,0,3757476.50374385,3189274.73225704,0
1,0,3759370.50964881,3143099.66165897,0
1,0,3761424.74580877,2874432.17569023,0
1,17031.9918624848,3747349.39584668,2733176.72439087,0
1,17031.9918624848,3750729.9714182,2697115.77324179,0
1,17031.9918624848,3754242.01874546,2677310.64541286,0
1,17031.9918624848,3757831.7899899,2489513.46720957,0
1,17031.9918624848,3762059.5177325,2353990.80646035,0
1,17031.9918624848,3766753.08010341,2234724.94629391,0
1,42610.2176778924,3746281.61473403,1819579.84718802,0
1,42610.2176778924,3752703.95395919,1829118.96709861,0
1,42610.2176778924,3759115.90391539,1850738.7158722,0
1,42610.2176778924,3765477.16120887,1701344.02037336,0
1,42610.2176778924,3772357.60501165,1553789.24983535,0
1,42610.2176778924,3779752.83286224,1518312.93584019,0
1,42610.2176778924,3787290.96585231,1539666.25269623,0
1,67660.6417177238,3769732.62418967,1364118.11954233,0
1,67660.6417177238,3777751.33920516,1279360.39260447,0
1,125317.609224587,3728422.3415203,1155649.07207754,0
1,125317.609224587,3736998.25241844,1175342.73191378,0
1,125317.609224587,3745537.10415346,1194981.50215279,0
1,125317.609224587,3754038.95616013,1213922.41955449,0
1,125317.609224587,3762506.01128215,1231848.8426886,0
1,125317.609224587,3770941.53517746,1249517.23684977,0
1,125317.609224587,3779346.28283855,1201387.12624385,0
1,305751.025887626,3607506.06336416,1089497.31847145,0
1,305751.025887626,3615899.42584714,1107867.60192874,0
1,305751.025887626,3624259.53192686,1125791.82051735,0
1,305751.025887626,3632587.75763156,1142628.12334227,0
1,305751.025887626,3640887.62307919,1133027.30564283,0
1,305751.025887626,3649247.15747065,1150685.83002608,0
1,305751.025887626,3657575.6952288,1147985.64392782,0
1,321030.767073919,3650661.25421351,1166206.57320164,0
1,321030.767073919,3658942.76981688,1184241.93295314,0
1,403830.553092842,3584391.98658751,1202277.29270464,0
1,403830.553092842,3592332.36890045,1219907.36479022,0
1,403830.553092842,3600240.45224748,1237176.2846619,0
1,506281.997032179,3505665.88886676,1186653.77737422,0
1,506281.997032179,3513395.9292384,1153171.48298476,0
1,506281.997032179,3521263.34405925,1170997.48135518,0
1,506281.997032179,3529097.5636016,1188215.12669736,0
1,506281.997032179,3536900.50505795,1130472.44920738,0
1,506281.997032179,3544921.93191078,1072172.05610892,0
1,506281.997032179,3553164.43149679,1091921.11846642,0
1,506281.997032179,3561368.57587356,1111281.73889523,0
