run,TotalPercentChange,,,
1,0.00,,,
1,0.32,,,
1,0.86,,,
1,-1.00,,,
1,-0.08,,,
1,0.90,,,
1,-0.67,,,
1,0.88,,,
1,0.45,,,
1,-0.71,,,
1,0.66,,,
1,2.07,,,
1,-0.73,,,
1,-2.24,,,
1,-0.13,,,
1,1.88,,,
1,-0.39,,,
1,-0.02,,,
1,2.13,,,
1,-3.44,,,
1,-0.02,,,
1,2.58,,,
1,-0.55,,,
1,-1.21,,,
1,-0.02,,,
1,0.63,,,
1,-0.69,,,
1,-0.03,,,
1,-1.84,,,
1,0.23,,,
1,0.23,,,
1,0.99,,,
1,-0.53,,,
1,1.68,,,
1,-4.80,,,
1,-0.95,,,
1,1.62,,,
1,-1.14,,,
1,2.62,,,
1,-2.11,,,
1,1.23,,,
1,-1.18,,,
1,0.23,,,
1,-2.04,,,
1,0.22,,,
1,1.40,,,
1,-2.34,,,
1,-0.06,,,
1,-0.95,,,
1,0.22,,,
1,3.67,,,
1,0.64,,,
1,-3.50,,,
1,0.23,,,
1,1.97,,,
1,-1.48,,,
1,0.23,,,
1,0.23,,,
1,0.23,,,
1,0.23,,,
1,2.33,,,
1,-0.57,,,
1,1.21,,,
1,-0.41,,,
1,-1.36,,,
1,0.23,,,
1,0.23,,,
1,0.23,,,
1,2.84,,,
1,-0.75,,,
1,0.00,,,
1,-1.14,,,
1,0.23,,,
1,1.66,,,
1,-1.19,,,
1,0.22,,,
1,3.03,,,
1,0.69,,,
1,-0.59,,,
1,-2.18,,,
1,0.22,,,
1,0.22,,,
1,2.77,,,
1,-2.27,,,
1,3.12,,,
1,1.74,,,
1,3.00,,,
1,-7.16,,,
1,2.95,,,
1,-2.44,,,
1,2.25,,,
1,-2.78,,,
1,3.92,,,
1,-5.59,,,
1,2.83,,,
1,-2.35,,,
1,-0.66,,,
1,2.48,,,
1,0.44,,,
1,1.62,,,
1,-1.98,,,
1,-1.88,,,
1,0.20,,,
1,6.38,,,
1,-3.58,,,
1,-1.92,,,
1,-1.16,,,
1,-5.82,,,
1,0.18,,,
1,4.79,,,
1,-4.23,,,
1,0.18,,,
1,0.18,,,
1,0.18,,,
1,0.18,,,
1,4.05,,,
1,-4.11,,,
1,0.19,,,
1,0.19,,,
1,0.18,,,
1,0.18,,,
1,0.18,,,
1,0.18,,,
1,0.18,,,
1,3.82,,,
1,-3.34,,,
1,0.18,,,
1,0.17,,,
1,0.17,,,
1,0.17,,,
1,0.17,,,
1,0.17,,,
1,0.17,,,
1,0.17,,,
1,6.33,,,
1,-0.90,,,
1,-0.75,,,
1,-3.73,,,
1,3.54,,,
1,-0.40,,,
1,-2.52,,,
1,0.17,,,
1,0.17,,,
1,0.17,,,
1,0.17,,,
1,0.17,,,
1,0.17,,,
1,0.17,,,
1,0.17,,,
1,0.17,,,
1,0.17,,,
1,0.16,,,
1,0.16,,,
1,0.16,,,
1,4.36,,,
1,-3.87,,,
1,0.16,,,
1,6.71,,,
1,-0.03,,,
1,-5.79,,,
1,0.17,,,
1,0.17,,,
1,2.95,,,
1,-2.54,,,
1,9.02,,,
1,-8.19,,,
1,4.92,,,
1,-4.37,,,
1,0.16,,,
1,-0.53,,,
1,0.16,,,
1,-3.06,,,
1,0.15,,,
1,2.10,,,
1,-2.15,,,
1,6.03,,,
1,-5.40,,,
1,6.30,,,
1,-3.25,,,
1,-3.82,,,
1,0.14,,,
1,0.14,,,
1,0.14,,,
1,0.14,,,
1,0.14,,,
1,0.14,,,
1,2.93,,,
1,-2.58,,,
1,0.13,,,
1,0.13,,,
1,5.30,,,
1,-4.78,,,
1,0.13,,,
1,0.13,,,
1,6.25,,,
1,-5.62,,,
1,0.15,,,
1,6.28,,,
1,-5.63,,,
1,0.15,,,
1,0.15,,,
1,0.15,,,
1,0.15,,,
1,0.14,,,
1,0.14,,,
1,0.14,,,
1,3.31,,,
1,-2.93,,,
1,0.14,,,
1,15.42,,,
1,-13.09,,,
1,0.16,,,
1,0.16,,,
1,0.16,,,
1,0.16,,,
1,0.16,,,
1,0.16,,,
1,0.16,,,
1,2.94,,,
1,-2.53,,,
1,0.17,,,
1,0.17,,,
1,5.41,,,
1,-4.80,,,
1,0.18,,,
1,0.18,,,
1,0.18,,,
1,0.18,,,
1,0.18,,,
1,0.18,,,
1,0.18,,,
1,0.18,,,
1,0.18,,,
1,0.18,,,
1,6.69,,,
1,-5.93,,,
1,6.73,,,
1,-5.96,,,
1,0.18,,,
1,0.18,,,
3,0.00,,,
3,0.17,,,
3,0.42,,,
3,0.17,,,
3,0.99,,,
3,-0.98,,,
3,-0.52,,,
3,0.44,,,
3,0.12,,,
3,2.14,,,
3,-2.51,,,
3,1.46,,,
3,-0.43,,,
3,-0.06,,,
3,-1.07,,,
3,3.07,,,
3,-2.35,,,
3,0.65,,,
3,0.59,,,
3,2.26,,,
3,-0.22,,,
3,-3.42,,,
3,1.30,,,
3,0.67,,,
3,-0.08,,,
3,1.86,,,
3,-1.83,,,
3,0.12,,,
3,-1.07,,,
3,1.36,,,
3,-0.96,,,
