run,Total Percent Change ,,,
1,0.00,,,
1,0.07,,,
1,0.04,,,
1,0.49,,,
1,-0.52,,,
1,-0.11,,,
1,0.07,,,
1,0.10,,,
1,-0.21,,,
1,-0.02,,,
1,-0.09,,,
1,1.17,,,
1,-0.25,,,
1,-0.10,,,
1,-0.03,,,
1,0.69,,,
1,-0.34,,,
1,-0.85,,,
1,0.58,,,
1,-0.23,,,
1,-0.83,,,
1,1.72,,,
1,0.03,,,
1,0.01,,,
1,1.12,,,
1,-0.52,,,
1,-1.19,,,
1,0.96,,,
1,-0.64,,,
1,-1.38,,,
1,2.17,,,
1,-2.57,,,
1,1.98,,,
1,-1.85,,,
1,2.48,,,
1,-2.31,,,
1,0.67,,,
1,0.54,,,
1,0.20,,,
1,-0.31,,,
1,0.05,,,
1,2.94,,,
1,-2.69,,,
1,2.02,,,
1,-1.69,,,
1,0.52,,,
1,-0.35,,,
1,0.27,,,
1,-0.33,,,
1,-0.68,,,
1,0.09,,,
1,0.09,,,
1,3.96,,,
1,-3.64,,,
1,1.56,,,
1,-1.37,,,
1,1.75,,,
1,0.61,,,
1,-0.34,,,
1,-0.88,,,
1,-1.24,,,
1,-1.38,,,
1,2.76,,,
1,-0.86,,,
1,1.71,,,
1,-2.19,,,
1,1.31,,,
1,0.03,,,
1,1.82,,,
1,-3.62,,,
1,0.10,,,
1,0.10,,,
1,5.24,,,
1,-4.78,,,
1,0.10,,,
1,0.10,,,
1,0.10,,,
1,4.02,,,
1,-3.66,,,
1,1.47,,,
1,-1.23,,,
1,0.11,,,
1,0.11,,,
1,0.11,,,
1,2.70,,,
1,-2.41,,,
1,4.58,,,
1,-4.13,,,
1,0.14,,,
1,6.50,,,
1,-4.39,,,
1,-1.37,,,
1,0.14,,,
1,0.14,,,
1,0.14,,,
1,3.88,,,
1,-3.60,,,
1,0.14,,,
1,0.14,,,
1,0.14,,,
1,2.79,,,
1,0.97,,,
1,-3.24,,,
1,0.15,,,
1,0.15,,,
1,0.15,,,
1,0.15,,,
1,0.15,,,
1,3.13,,,
1,-2.75,,,
1,0.15,,,
1,0.15,,,
1,0.14,,,
1,4.14,,,
1,-3.68,,,
1,0.16,,,
1,0.16,,,
1,0.16,,,
1,0.16,,,
1,3.72,,,
1,-3.27,,,
1,3.48,,,
1,-3.06,,,
1,2.76,,,
1,-2.38,,,
1,-1.43,,,
1,0.15,,,
1,0.15,,,
1,0.15,,,
1,1.85,,,
1,4.58,,,
1,-5.69,,,
1,0.15,,,
1,0.15,,,
1,0.15,,,
1,4.14,,,
1,1.02,,,
1,-4.49,,,
1,6.32,,,
1,-5.63,,,
1,4.01,,,
1,-3.54,,,
1,0.16,,,
1,0.16,,,
1,0.16,,,
1,0.16,,,
1,0.16,,,
1,0.16,,,
1,0.16,,,
1,0.16,,,
1,0.16,,,
1,0.16,,,
1,0.16,,,
1,0.16,,,
1,8.86,,,
1,-7.85,,,
1,0.16,,,
1,0.15,,,
1,0.15,,,
1,4.34,,,
1,-3.87,,,
1,0.15,,,
1,-2.54,,,
1,0.15,,,
1,6.50,,,
1,-5.82,,,
1,0.15,,,
1,0.15,,,
1,0.15,,,
1,0.14,,,
1,0.14,,,
1,7.26,,,
1,-6.50,,,
1,3.68,,,
1,-3.28,,,
1,5.22,,,
1,-2.08,,,
1,-2.53,,,
1,0.14,,,
1,4.74,,,
1,0.33,,,
1,0.90,,,
1,-3.16,,,
1,1.77,,,
1,-3.49,,,
1,0.14,,,
1,0.14,,,
1,4.13,,,
1,-3.70,,,
1,0.14,,,
1,-6.17,,,
1,0.12,,,
1,0.12,,,
1,0.12,,,
1,0.12,,,
1,0.12,,,
1,0.12,,,
1,0.12,,,
1,0.12,,,
1,7.60,,,
1,-6.82,,,
1,6.87,,,
1,-6.18,,,
1,0.13,,,
1,0.13,,,
1,0.13,,,
1,7.69,,,
1,-6.88,,,
1,0.14,,,
1,0.14,,,
1,-1.01,,,
1,0.14,,,
1,0.14,,,
1,0.14,,,
1,0.14,,,
1,0.14,,,
1,0.13,,,
1,0.13,,,
1,0.13,,,
1,0.13,,,
1,0.13,,,
1,5.34,,,
1,-4.81,,,
1,0.13,,,
1,5.76,,,
1,-5.19,,,
1,0.13,,,
1,0.13,,,
1,0.13,,,
1,0.13,,,
1,0.13,,,
1,0.13,,,
1,-1.64,,,
1,0.12,,,
1,0.12,,,
1,-6.30,,,
1,0.11,,,
1,5.86,,,
1,-2.41,,,
1,-2.89,,,
3,0.00,,,
3,0.15,,,
3,0.51,,,
3,0.30,,,
3,-0.73,,,
3,0.95,,,
3,-1.08,,,
3,0.45,,,
3,1.48,,,
3,-0.56,,,
3,0.25,,,
3,-1.09,,,
3,-1.12,,,
3,-0.53,,,
3,1.36,,,
3,-1.06,,,
3,3.72,,,
3,-5.08,,,
3,0.52,,,
3,2.31,,,
3,-2.52,,,
3,0.86,,,
3,0.32,,,
3,-1.03,,,
3,-0.04,,,
3,-0.81,,,
3,0.54,,,
3,1.64,,,
3,-2.66,,,
3,0.84,,,
3,-0.50,,,
3,0.12,,,
3,-0.61,,,
3,-1.16,,,
3,-0.78,,,
3,0.74,,,
3,-0.52,,,
3,2.35,,,
3,-2.32,,,
3,2.28,,,
3,-2.25,,,
3,-0.49,,,
3,0.12,,,
3,2.24,,,
3,0.58,,,
3,-2.21,,,
3,1.97,,,
3,1.27,,,
3,-2.61,,,
3,0.19,,,
3,-0.61,,,
3,0.05,,,
3,-1.22,,,
3,3.45,,,
3,-3.70,,,
3,-2.29,,,
3,-4.84,,,
3,-2.29,,,
3,0.71,,,
3,-1.06,,,
3,4.04,,,
3,-3.92,,,
3,-1.30,,,
3,0.18,,,
3,0.18,,,
3,0.18,,,
3,0.18,,,
3,2.30,,,
3,-1.90,,,
3,2.05,,,
3,-4.22,,,
3,-1.23,,,
3,0.19,,,
3,0.18,,,
3,4.25,,,
3,-2.65,,,
3,-0.92,,,
3,1.96,,,
3,-3.87,,,
3,0.03,,,
3,0.18,,,
3,0.18,,,
3,0.18,,,
3,0.17,,,
3,0.17,,,
3,0.17,,,
3,4.49,,,
3,-3.96,,,
3,0.18,,,
3,-0.88,,,
3,0.18,,,
3,3.52,,,
3,0.94,,,
3,-3.78,,,
3,2.47,,,
3,-2.06,,,
3,0.18,,,
3,3.81,,,
3,-3.33,,,
3,0.18,,,
3,-4.06,,,
3,2.76,,,
3,-2.35,,,
3,1.96,,,
3,-5.30,,,
3,0.16,,,
3,5.01,,,
3,0.93,,,
3,-5.17,,,
3,0.17,,,
3,3.50,,,
3,-3.05,,,
3,0.17,,,
3,3.11,,,
3,-2.70,,,
3,2.88,,,
3,-2.49,,,
3,2.31,,,
3,-2.11,,,
3,5.13,,,
3,-2.20,,,
3,-2.24,,,
3,0.17,,,
3,0.17,,,
3,0.17,,,
3,0.17,,,
3,0.17,,,
3,-0.11,,,
3,0.16,,,
3,0.16,,,
3,0.16,,,
3,0.16,,,
3,0.16,,,
3,0.16,,,
3,5.52,,,
3,-0.88,,,
3,-1.33,,,
3,0.38,,,
3,0.13,,,
3,-4.61,,,
3,-2.12,,,
3,0.15,,,
3,3.11,,,
3,-2.71,,,
3,0.16,,,
3,0.16,,,
3,0.15,,,
3,11.48,,,
3,-10.02,,,
3,0.16,,,
3,0.16,,,
3,0.30,,,
3,3.90,,,
3,-0.43,,,
3,-4.89,,,
3,0.15,,,
3,0.15,,,
3,0.15,,,
3,0.15,,,
3,0.15,,,
3,0.14,,,
3,0.14,,,
3,0.14,,,
3,0.14,,,
3,0.14,,,
3,5.31,,,
3,0.74,,,
3,-9.36,,,
3,0.13,,,
3,0.13,,,
3,-1.14,,,
3,0.13,,,
3,0.13,,,
3,0.13,,,
3,0.13,,,
3,2.85,,,
3,0.62,,,
3,-7.05,,,
3,0.13,,,
3,0.13,,,
3,0.13,,,
3,0.13,,,
3,2.85,,,
3,-2.51,,,
3,0.14,,,
3,5.08,,,
3,-4.57,,,
3,3.09,,,
3,-2.73,,,
3,3.21,,,
3,-2.84,,,
3,0.14,,,
3,-4.37,,,
3,0.13,,,
3,0.13,,,
3,0.13,,,
3,0.13,,,
3,3.20,,,
3,8.37,,,
3,-4.79,,,
3,-5.60,,,
3,4.31,,,
3,-3.89,,,
3,0.13,,,
3,6.39,,,
3,-6.18,,,
3,0.12,,,
3,0.12,,,
3,0.12,,,
3,-3.60,,,
3,0.11,,,
3,0.11,,,
3,0.11,,,
3,0.11,,,
3,0.11,,,
3,0.11,,,
3,3.79,,,
3,3.81,,,
3,-6.88,,,
3,0.11,,,
3,0.11,,,
3,0.11,,,
3,0.11,,,
3,0.11,,,
3,2.50,,,
3,-2.24,,,
3,0.10,,,
3,-2.28,,,
3,4.32,,,
3,-3.94,,,
3,0.11,,,
3,6.15,,,
3,-5.58,,,
3,5.31,,,
3,-4.82,,,
3,2.52,,,
3,-2.22,,,
3,5.48,,,
3,-4.97,,,
3,0.12,,,
5,0.00,,,
5,-0.22,,,
5,0.15,,,
5,0.17,,,
5,0.04,,,
5,-0.11,,,
5,0.17,,,
5,0.38,,,
5,-0.61,,,
5,0.36,,,
5,-0.30,,,
5,1.18,,,
5,-0.96,,,
5,0.88,,,
5,0.49,,,
5,-0.90,,,
5,0.74,,,
5,-0.40,,,
5,-1.08,,,
5,1.03,,,
5,-0.63,,,
5,0.60,,,
5,2.01,,,
5,-2.30,,,
5,0.79,,,
5,-1.95,,,
5,-0.72,,,
5,-0.60,,,
5,1.17,,,
5,-1.91,,,
5,0.87,,,
5,-0.28,,,
5,0.83,,,
5,1.03,,,
5,-2.23,,,
5,0.05,,,
5,0.72,,,
5,-0.66,,,
5,0.86,,,
5,-0.39,,,
5,1.43,,,
5,0.87,,,
5,-3.23,,,
5,0.05,,,
5,0.05,,,
5,1.14,,,
5,-0.25,,,
5,-0.72,,,
5,0.66,,,
5,1.75,,,
5,-1.23,,,
5,0.01,,,
5,-0.07,,,
5,-0.79,,,
5,0.05,,,
5,2.14,,,
5,-1.99,,,
5,1.72,,,
5,-0.03,,,
5,-1.51,,,
5,1.30,,,
5,0.23,,,
5,-1.95,,,
5,5.54,,,
5,-2.49,,,
5,-0.83,,,
5,-1.83,,,
5,1.86,,,
5,-1.72,,,
5,1.00,,,
5,2.37,,,
5,1.30,,,
5,-4.33,,,
5,0.05,,,
5,0.05,,,
5,2.76,,,
5,-3.18,,,
5,2.27,,,
5,-0.25,,,
5,-1.83,,,
5,3.24,,,
5,-1.73,,,
5,-1.26,,,
5,0.06,,,
5,0.06,,,
5,0.06,,,
5,5.42,,,
5,-1.73,,,
5,-3.27,,,
5,2.85,,,
5,-2.63,,,
5,2.52,,,
5,0.71,,,
5,-2.93,,,
5,0.07,,,
5,3.15,,,
5,-2.92,,,
5,0.07,,,
5,0.07,,,
5,0.07,,,
5,0.07,,,
5,0.07,,,
5,2.31,,,
5,-6.44,,,
5,2.82,,,
5,-2.63,,,
5,0.06,,,
5,0.05,,,
5,0.05,,,
5,3.19,,,
5,-2.99,,,
5,0.05,,,
5,0.05,,,
5,0.05,,,
5,0.05,,,
5,0.05,,,
5,0.05,,,
5,-0.17,,,
5,0.05,,,
5,0.05,,,
5,2.63,,,
5,-3.45,,,
5,-0.09,,,
5,0.14,,,
5,-3.87,,,
5,0.04,,,
5,1.10,,,
5,-1.01,,,
5,0.04,,,
5,0.04,,,
5,0.04,,,
5,0.03,,,
5,0.03,,,
5,0.03,,,
5,3.22,,,
5,0.89,,,
5,-3.87,,,
5,0.04,,,
5,0.04,,,
5,0.04,,,
5,4.16,,,
5,-3.93,,,
5,3.97,,,
5,-0.91,,,
5,-2.84,,,
5,0.03,,,
5,0.03,,,
5,0.03,,,
5,0.03,,,
5,7.68,,,
5,-1.31,,,
5,-5.80,,,
5,7.25,,,
5,-6.68,,,
5,0.05,,,
5,0.05,,,
5,0.05,,,
5,0.05,,,
5,0.04,,,
5,0.04,,,
5,5.25,,,
5,-0.52,,,
5,-5.18,,,
5,0.04,,,
5,2.81,,,
5,2.29,,,
5,-4.79,,,
5,0.04,,,
5,0.04,,,
5,0.04,,,
5,0.04,,,
5,4.86,,,
5,-4.55,,,
5,0.04,,,
5,0.04,,,
5,0.04,,,
5,9.99,,,
5,-9.01,,,
5,3.22,,,
5,1.83,,,
5,-4.76,,,
5,0.04,,,
5,11.96,,,
5,-10.60,,,
5,0.05,,,
5,-1.64,,,
5,0.05,,,
5,0.05,,,
5,0.05,,,
5,0.05,,,
5,0.05,,,
5,0.05,,,
5,0.05,,,
5,0.05,,,
5,0.05,,,
5,0.05,,,
5,0.05,,,
5,0.05,,,
5,0.05,,,
5,7.19,,,
5,-6.61,,,
5,0.06,,,
5,0.06,,,
5,0.06,,,
5,0.06,,,
5,0.06,,,
5,5.53,,,
5,-5.14,,,
5,0.06,,,
5,0.06,,,
5,0.06,,,
5,0.05,,,
5,0.05,,,
5,0.05,,,
5,0.05,,,
5,6.09,,,
5,-5.64,,,
5,0.05,,,
5,4.12,,,
5,-3.85,,,
5,0.05,,,
5,3.87,,,
5,-3.62,,,
5,0.05,,,
5,0.05,,,
5,5.86,,,
5,-5.44,,,
5,0.05,,,
5,0.05,,,
5,0.05,,,
5,0.05,,,
5,0.05,,,
5,0.05,,,
5,11.02,,,
5,-13.03,,,
5,0.04,,,
5,0.04,,,
5,0.04,,,
5,0.04,,,
5,0.04,,,
7,0.00,,,
7,-0.04,,,
7,0.20,,,
7,-0.25,,,
7,0.77,,,
7,0.20,,,
7,-0.99,,,
7,1.54,,,
7,0.13,,,
7,-1.05,,,
7,0.82,,,
7,-0.25,,,
7,-0.37,,,
7,0.22,,,
7,-0.85,,,
7,0.39,,,
7,1.22,,,
7,0.47,,,
7,-2.00,,,
7,2.45,,,
7,-1.34,,,
7,-1.69,,,
7,1.88,,,
7,-1.29,,,
7,-4.71,,,
7,-0.56,,,
7,0.12,,,
7,4.29,,,
7,-4.34,,,
7,0.12,,,
7,1.39,,,
7,0.97,,,
7,-1.94,,,
7,1.50,,,
7,-0.07,,,
7,-0.94,,,
7,0.06,,,
7,2.76,,,
7,-2.22,,,
7,-1.48,,,
7,0.07,,,
7,1.19,,,
7,-0.90,,,
7,1.30,,,
7,4.00,,,
7,-1.87,,,
7,-2.30,,,
7,4.97,,,
7,-4.67,,,
7,-1.28,,,
7,3.03,,,
7,-2.58,,,
7,0.18,,,
7,0.18,,,
7,-1.19,,,
7,1.97,,,
7,-1.59,,,
7,5.06,,,
7,-2.81,,,
7,-1.52,,,
7,0.19,,,
7,3.69,,,
7,-3.18,,,
7,0.63,,,
7,-0.24,,,
7,0.15,,,
7,0.19,,,
7,0.19,,,
7,2.29,,,
7,-0.80,,,
7,0.60,,,
7,-1.29,,,
7,0.19,,,
7,0.19,,,
7,-1.99,,,
7,5.18,,,
7,-2.33,,,
7,-2.11,,,
7,2.35,,,
7,-1.94,,,
7,0.18,,,
7,0.18,,,
7,1.60,,,
7,0.54,,,
7,-1.58,,,
7,0.18,,,
7,3.78,,,
7,-3.30,,,
7,2.84,,,
7,0.05,,,
7,-3.14,,,
7,-0.35,,,
7,4.58,,,
7,-3.61,,,
7,2.90,,,
7,-0.93,,,
7,-1.80,,,
7,0.18,,,
7,3.60,,,
7,-3.13,,,
7,0.18,,,
7,0.18,,,
7,-2.11,,,
7,0.17,,,
7,2.33,,,
7,-1.94,,,
7,3.79,,,
7,-3.32,,,
7,3.26,,,
7,0.31,,,
7,-3.28,,,
7,-4.82,,,
7,0.16,,,
7,-1.90,,,
7,0.15,,,
7,-0.28,,,
7,0.15,,,
7,0.15,,,
7,0.15,,,
7,-3.59,,,
7,3.31,,,
7,-4.87,,,
7,4.32,,,
7,-7.04,,,
7,-0.82,,,
