"Assets","Defaulted Assets","tick"
1203588.0291704033,0.0,0.0
1186987.0464309538,0.0,1.0
1183141.1416325765,0.0,2.0
1179179.1037207234,0.0,3.0
1140112.9664345395,0.0,4.0
1137542.764394131,0.0,5.0
1123567.0859625477,0.0,6.0
1070573.6313956531,0.0,7.0
1031638.1173318799,0.0,8.0
1020542.7064582221,0.0,9.0
987830.8851755644,0.0,10.0
994260.6497976254,0.0,11.0
998743.5335031553,0.0,12.0
1004957.4958848867,0.0,13.0
1010718.692559547,0.0,14.0
1016479.8892342071,0.0,15.0
1022241.0859088674,0.0,16.0
1027958.2989437964,57882.64784273918,17.0
905255.922696349,57882.64784273918,18.0
911307.9468718044,57882.64784273918,19.0
917185.9798798518,57882.64784273918,20.0
901661.9808521396,57882.64784273918,21.0
907769.3490654168,57882.64784273918,22.0
913876.717278694,57882.64784273918,23.0
919984.0854919712,57882.64784273918,24.0
926091.4537052482,58363.73814688535,25.0
902144.4075829842,58363.73814688535,26.0
822140.2092468124,76966.69277273747,27.0
771858.1136133163,76966.69277273747,28.0
778703.1706161888,76966.69277273747,29.0
752154.7756411505,76966.69277273747,30.0
758809.5833940016,78941.8299208771,31.0
765219.2677092234,78941.8299208771,32.0
684724.3298624106,111347.90794906278,33.0
691848.0339063505,111347.90794906278,34.0
698971.7379502907,111347.90794906278,35.0
706095.4419942306,111347.90794906278,36.0
604453.4251910995,111347.90794906278,37.0
612087.2943405159,111347.90794906278,38.0
619311.0681211645,111347.90794906278,39.0
625877.3319137224,111347.90794906278,40.0
632443.5957062806,111347.90794906278,41.0
639009.8594988387,111347.90794906278,42.0
592854.3728019147,111347.90794906278,43.0
598100.3340189237,111347.90794906278,44.0
603346.2952359328,111347.90794906278,45.0
471841.70270901476,111347.90794906278,46.0
477292.72446627665,111347.90794906278,47.0
482743.7462235385,111347.90794906278,48.0
416981.276453038,111347.90794906278,49.0
417122.8861624468,111347.90794906278,50.0
423728.33998944657,111347.90794906278,51.0
430333.79381644644,111347.90794906278,52.0
436939.2476434462,111347.90794906278,53.0
346623.806696875,111347.90794906278,54.0
354678.68904373795,111347.90794906278,55.0
362733.571390601,111347.90794906278,56.0
370788.4537374639,111347.90794906278,57.0
339537.6390353354,111347.90794906278,58.0
348616.1264239809,111347.90794906278,59.0
260254.84043836393,111347.90794906278,60.0
269812.5976233089,111347.90794906278,61.0
279370.3548082539,111347.90794906278,62.0
177507.71154624803,111347.90794906278,63.0
187557.22704762724,111347.90794906278,64.0
197570.36453704894,111347.90794906278,65.0
207583.5020264706,111347.90794906278,66.0
217388.75252039896,111347.90794906278,67.0
226899.36522461273,111347.90794906278,68.0
236141.68345811462,111347.90794906278,69.0
245384.0016916165,111347.90794906278,70.0
254626.3199251184,111347.90794906278,71.0
263868.6381586203,111347.90794906278,72.0
273110.95639212214,111347.90794906278,73.0
282353.274625624,111347.90794906278,74.0
291595.5928591259,111347.90794906278,75.0
300837.9110926278,111347.90794906278,76.0
310080.22932612966,111347.90794906278,77.0
319322.5475596316,111347.90794906278,78.0
328564.86579313345,111347.90794906278,79.0
337807.1840266353,111347.90794906278,80.0
347049.50226013723,111347.90794906278,81.0
356291.8204936391,111347.90794906278,82.0
365534.13872714096,111347.90794906278,83.0
374776.4569606429,111347.90794906278,84.0
366908.31119511294,111347.90794906278,85.0
376871.3516093564,111347.90794906278,86.0
375489.7054705008,111347.90794906278,87.0
386173.4680654859,111347.90794906278,88.0
391875.97122318996,135872.21963934344,89.0
395867.31175418256,135872.21963934344,90.0
285201.2337751384,135872.21963934344,91.0
297836.64721779316,135872.21963934344,92.0
310472.0606604479,135872.21963934344,93.0
323107.4741031027,135872.21963934344,94.0
335742.88754575746,135872.21963934344,95.0
348378.3009884123,135872.21963934344,96.0
361013.714431067,135872.21963934344,97.0
373147.3219140469,135872.21963934344,98.0
384852.8570007505,135872.21963934344,99.0
328322.1375834218,135872.21963934344,100.0
338871.4573178545,135872.21963934344,101.0
317114.5464919932,233944.16821824736,102.0
327643.7251732523,233944.16821824736,103.0
337593.37413904845,233944.16821824736,104.0
347401.83063956595,233944.16821824736,105.0
357210.2871400835,233944.16821824736,106.0
367018.743640601,233944.16821824736,107.0
376827.20014111855,233944.16821824736,108.0
386635.65664163604,233944.16821824736,109.0
395955.7410833628,233944.16821824736,110.0
404634.19535530574,233944.16821824736,111.0
413312.6496272487,233944.16821824736,112.0
421991.1038991916,233944.16821824736,113.0
430669.5581711345,233944.16821824736,114.0
439348.01244307746,233944.16821824736,115.0
448026.46671502036,233944.16821824736,116.0
456662.63583052886,233944.16821824736,117.0
464906.4100879907,233944.16821824736,118.0
473035.2608147167,233944.16821824736,119.0
481073.97453192563,233944.16821824736,120.0
489026.1460115446,233944.16821824736,121.0
496404.418884024,233944.16821824736,122.0
503782.69175650337,233944.16821824736,123.0
511160.9646289827,233944.16821824736,124.0
486863.73872888077,233944.16821824736,125.0
494596.21507572616,233944.16821824736,126.0
480429.2718637077,233944.16821824736,127.0
488193.72764257086,233944.16821824736,128.0
495958.18342143414,233944.16821824736,129.0
503722.63920029736,233944.16821824736,130.0
511487.0949791605,233944.16821824736,131.0
519239.1072617466,233944.16821824736,132.0
526494.6038521447,233944.16821824736,133.0
520389.09123271686,233944.16821824736,134.0
528037.0554664148,233944.16821824736,135.0
535239.3273345222,233944.16821824736,136.0
542260.0426538715,233944.16821824736,137.0
549280.7579732208,233944.16821824736,138.0
394242.0337546667,233944.16821824736,139.0
401882.49101006816,312205.9854214213,140.0
409041.2683810178,312205.9854214213,141.0
416200.0457519674,312205.9854214213,142.0
423358.8231229171,312205.9854214213,143.0
430394.5317727319,312205.9854214213,144.0
437096.39182942535,312205.9854214213,145.0
443798.2518861188,312205.9854214213,146.0
450500.1119428122,312205.9854214213,147.0
404503.65141665796,312205.9854214213,148.0
411684.7812696508,312205.9854214213,149.0
418865.9111226436,312205.9854214213,150.0
426047.04097563657,312205.9854214213,151.0
433228.1708286294,312205.9854214213,152.0
