"Defaulted Assets","Net Assets","Remaining Bank Assets","Defaulted Bank Count"
0.0,1259544.3113928945,1250976.5432642088,0.0
0.0,1259572.87061999,1251262.989638472,0.0
0.0,1259600.5702232616,1241032.1339136949,0.0
0.0,1259662.4650109606,1240660.2752668755,0.0
0.0,1259725.8056434407,1242764.4982690504,0.0
0.0,1259782.3433346888,1236989.723110463,0.0
0.0,1259858.318735436,1216737.441580362,0.0
0.0,1260002.05499262,1215358.6626030505,0.0
0.0,1260150.866300585,1217655.3106170716,0.0
0.0,1260292.5181528635,1182261.2761282974,0.0
0.0,1260552.6222929452,1185217.599265629,0.0
0.0,1260803.7390363696,1180207.2100707998,0.0
0.0,1261072.3941329217,1179047.9666393474,0.0
0.0,1261345.8088912335,1161252.4159595587,0.0
0.0,1261679.453534339,1165346.7995234518,0.0
14942.36167685948,1247058.2007041825,1140357.6086782576,0.0
14942.36167685948,1247413.869344269,1137287.3744574762,0.0
14942.36167685948,1247780.9576605584,1141597.4416084979,0.0
14942.36167685948,1248134.9027140653,1145907.50875952,0.0
14942.36167685948,1248475.6606939137,1150217.5759105422,0.0
14942.36167685948,1248803.1876431918,1128592.7260921677,0.0
14942.36167685948,1249203.889181695,1132181.343315744,0.0
14942.36167685948,1249593.9643345815,1053964.358859697,0.0
14942.36167685948,1250246.0630194978,1058730.3649674426,0.0
14942.36167685948,1250884.4486796716,1063279.9997837897,0.0
14942.36167685948,1251509.796842658,1067390.9526904887,0.0
14942.36167685948,1252123.526323165,985655.0308485773,0.0
14942.36167685948,1253011.7546414137,989348.0398757253,0.0
14942.36167685948,1253890.6336906329,927409.0198177019,0.0
14942.36167685948,1254978.905736876,873022.6960994593,0.0
14942.36167685948,1256252.093102334,813125.7990182436,0.0
14942.36167685948,1257729.180749281,818357.6321008252,0.0
14942.36167685948,1259193.752578109,803100.6380047452,0.0
14942.36167685948,1260714.0629600203,795555.3819997258,0.0
14942.36167685948,1262264.591896555,782277.5467553638,0.0
14942.36167685948,1263864.548713692,753166.2270879595,0.0
14942.36167685948,1265566.8764524446,546846.1399306259,0.0
14942.36167685948,1267962.6122408507,485208.7708014574,0.0
14942.36167685948,1270571.7917123153,492080.76721571357,0.0
14942.36167685948,1273166.7617939706,426434.63657313277,0.0
14942.36167685948,1275989.2022113735,433411.2318168724,0.0
14942.36167685948,1278797.795446022,440387.827060612,0.0
14942.36167685948,1281592.4953406402,416234.03953977936,0.0
14942.36167685948,1284477.023526643,385129.93376521015,0.0
134427.80381325335,1167989.4050227874,392641.7694167389,0.0
134427.80381325335,1170573.8971414743,367885.07421114465,0.0
134427.80381325335,1173249.526551242,375482.1375150274,0.0
134427.80381325335,1175908.7511813627,382936.2754058454,0.0
161687.1443976969,1151292.652182838,389636.8109336614,0.0
161687.1443976969,1153831.504987002,396302.05807606084,0.0
161687.1443976969,1156356.6031433716,402967.3052184603,0.0
161687.1443976969,1158867.9008031213,409632.5523608597,0.0
161687.1443976969,1161365.3519645957,416297.7995032592,0.0
161687.1443976969,1163848.9104728,380985.70078104653,0.0
161687.1443976969,1166458.454505106,388229.87991003925,0.0
161687.1443976969,1169052.5497537563,395456.3955752743,0.0
161687.1443976969,1171631.203601018,402178.7058493153,0.0
161687.1443976969,1174196.0452601905,328654.468109803,0.0
161687.1443976969,1177014.5171840251,337176.79780110664,0.0
161687.1443976969,1179813.9762486347,345699.1274924103,0.0
161687.1443976969,1182594.3590778224,354221.45718371397,0.0
161687.1443976969,1185355.602084136,362743.7868750176,0.0
161687.1443976969,1188097.6414681664,371266.1165663213,0.0
161687.1443976969,1190820.4132178393,379677.13913581247,0.0
161687.1443976969,1193524.224131446,387724.7493842296,0.0
161687.1443976969,1196210.2223806037,395371.0189159699,0.0
161687.1443976969,1198879.6863921522,403017.2884477101,0.0
161687.1443976969,1201532.5610519676,410663.5579794503,0.0
161687.1443976969,1204168.7910622093,418309.8275111906,0.0
161687.1443976969,1206788.3209407127,425956.0970429309,0.0
161687.1443976969,1209391.095020372,433602.3665746711,0.0
161687.1443976969,1211977.057448524,399478.43552392797,0.0
161687.1443976969,1214685.3861882729,407712.1504778814,0.0
161687.1443976969,1217375.2969739744,415686.710048854,0.0
161687.1443976969,1220047.592263725,423661.2696198265,0.0
161687.1443976969,1222702.2133392044,431635.82919079904,0.0
161687.1443976969,1225339.101286366,439610.3887617716,0.0
161687.1443976969,1227958.1969947815,447584.9483327442,0.0
161687.1443976969,1230559.441156988,455559.5079037167,0.0
230593.52803533085,1164236.3906301982,463534.0674746893,0.0
230593.52803533085,1166572.0650407167,471294.5552950008,0.0
230593.52803533085,1168889.6567398692,479055.04311531235,0.0
230593.52803533085,1171189.1054519513,483597.0843824851,0.0
230593.52803533085,1173481.078855516,492233.74843073625,0.0
230593.52803533085,1175751.9032902652,500870.4124789875,0.0
230593.52803533085,1178001.5082596363,509507.0765272386,0.0
230593.52803533085,1180229.8230320779,474874.90613961115,0.0
