"Assets","Defaulted Assets","tick"
1269419.6837348123,0.0,0.0
1239471.7545480335,0.0,1.0
1234335.7122007823,0.0,2.0
1221482.7855626915,0.0,3.0
1212718.3216749954,0.0,4.0
1207815.5396529632,1008.7538474402321,5.0
1160797.2268349652,1008.7538474402321,6.0
1154947.4416604103,1008.7538474402321,7.0
1132102.54822078,1648.4666526745154,8.0
1126344.5385322254,13906.667980157867,9.0
1130471.6015421175,13906.667980157867,10.0
1084787.8415620746,13906.667980157867,11.0
1060984.3276413386,32504.419543974655,12.0
1066837.9695557877,32504.419543974655,13.0
985874.2375981957,32504.419543974655,14.0
903558.0318253775,32504.419543974655,15.0
769904.0519163064,37519.61402843334,16.0
701836.1991133195,37519.61402843334,17.0
682419.0367007443,37519.61402843334,18.0
613146.4394158679,37519.61402843334,19.0
602085.5571465197,37519.61402843334,20.0
612867.2975063903,37519.61402843334,21.0
546732.0397287369,48248.25057846866,22.0
501875.93428357586,48248.25057846866,23.0
513205.4689129968,48248.25057846866,24.0
510749.2754322847,48248.25057846866,25.0
507379.155824354,48248.25057846866,26.0
498904.2373365454,83927.9313826173,27.0
464106.13064568903,83927.9313826173,28.0
444961.51176364097,83927.9313826173,29.0
456720.6755888924,83927.9313826173,30.0
468479.83941414393,83927.9313826173,31.0
356393.5303331795,83927.9313826173,32.0
369048.2362704391,83927.9313826173,33.0
381702.9422076987,83927.9313826173,34.0
368848.6867368801,83927.9313826173,35.0
381859.2764186892,92499.65518215137,36.0
363658.8797165211,92499.65518215137,37.0
376592.16313239693,92499.65518215137,38.0
387442.13039924344,92499.65518215137,39.0
401206.88016925077,100543.83799920723,40.0
414461.0435302095,100543.83799920723,41.0
376484.4768183214,100543.83799920723,42.0
389308.70050030435,100543.83799920723,43.0
402022.83462903154,132269.32174553725,44.0
414516.55123491137,132269.32174553725,45.0
426894.516059697,132269.32174553725,46.0
439149.59264489764,132269.32174553725,47.0
451404.66923009837,132269.32174553725,48.0
463659.745815299,151473.8411874494,49.0
475275.3715593326,151473.8411874494,50.0
461009.9589040668,151473.8411874494,51.0
474012.74862756627,151473.8411874494,52.0
487015.5383510657,151473.8411874494,53.0
332857.7585026199,161884.54441539937,54.0
319063.8122847917,161884.54441539937,55.0
331331.3379596642,161884.54441539937,56.0
320782.7730950485,161884.54441539937,57.0
333492.78831070143,161884.54441539937,58.0
345796.7612320229,161884.54441539937,59.0
358100.7341533443,180344.25460277818,60.0
315289.1346587835,180344.25460277818,61.0
327604.61177596473,223121.8162897861,62.0
339407.54972794896,223121.8162897861,63.0
335203.7134586133,223121.8162897861,64.0
347481.63528763386,223121.8162897861,65.0
308938.2516082473,223121.8162897861,66.0
321126.39815675886,223121.8162897861,67.0
333314.5447052705,223121.8162897861,68.0
345502.6912537821,223121.8162897861,69.0
357690.83780229365,223121.8162897861,70.0
357258.017935463,223121.8162897861,71.0
369929.85131339997,256569.55219252323,72.0
382094.5722213113,256569.55219252323,73.0
394237.1435890088,256569.55219252323,74.0
406006.74145363126,256569.55219252323,75.0
417776.3393182538,256569.55219252323,76.0
429545.9371828763,256569.55219252323,77.0
441315.53504749876,256569.55219252323,78.0
453085.13291212125,256569.55219252323,79.0
464854.73077674373,256569.55219252323,80.0
476624.3286413663,256569.55219252323,81.0
481439.98065185436,256569.55219252323,82.0
481265.3470556294,274592.8547016883,83.0
471255.3669016835,274592.8547016883,84.0
482835.2531398486,274592.8547016883,85.0
495955.2055961912,274592.8547016883,86.0
496974.400306238,274592.8547016883,87.0
509523.87622627313,274592.8547016883,88.0
522073.3521463083,274592.8547016883,89.0
534622.8280663434,274592.8547016883,90.0
547172.3039863786,274592.8547016883,91.0
466113.7877676581,274592.8547016883,92.0
446390.1546415952,274592.8547016883,93.0
460576.90430958674,309940.1574869532,94.0
472455.62447298266,309940.1574869532,95.0
484334.3446363786,309940.1574869532,96.0
495501.17288792954,309940.1574869532,97.0
492691.4333002571,309940.1574869532,98.0
250347.9683103366,309940.1574869532,99.0
260568.65621241042,309940.1574869532,100.0
270729.5897417842,309940.1574869532,101.0
280780.0004770835,309940.1574869532,102.0
290638.14765848935,309940.1574869532,103.0
300496.2948398951,309940.1574869532,104.0
310354.4420213009,309940.1574869532,105.0
319953.65165544854,309940.1574869532,106.0
329420.3551318252,309940.1574869532,107.0
338887.0586082019,309940.1574869532,108.0
348353.7620845787,309940.1574869532,109.0
357820.4655609553,484546.99899686466,110.0
297321.3348972342,484546.99899686466,111.0
306706.25126754364,484546.99899686466,112.0
316091.1676378531,484546.99899686466,113.0
325248.4034509711,484546.99899686466,114.0
334149.6329918552,484546.99899686466,115.0
342803.27092647547,484546.99899686466,116.0
350902.252184609,484546.99899686466,117.0
359001.2334427425,484546.99899686466,118.0
366607.13349878,484546.99899686466,119.0
374032.495119688,484546.99899686466,120.0
381457.856740596,484546.99899686466,121.0
388883.21836150397,484546.99899686466,122.0
395782.6892371746,546423.6326144317,123.0
401219.09122277953,546423.6326144317,124.0
406655.4932083845,546423.6326144317,125.0
412091.89519398945,546423.6326144317,126.0
417528.29717959446,546423.6326144317,127.0
422964.6991651994,695394.8121286952,128.0
428076.5240931315,695394.8121286952,129.0
433188.3490210636,695394.8121286952,130.0
438300.1739489957,695394.8121286952,131.0
443411.99887692777,695394.8121286952,132.0
448305.6924152047,695394.8121286952,133.0
452615.2690603862,695394.8121286952,134.0
456884.03165412386,695394.8121286952,135.0
