"run","randomSeed","meanConsumerRisk","neighborhoodCount","costOfLiving","minBankerAssets","meanBankerRisk","meanForIncomeDist","bankerCount","consumerCount","sharedNeighborhoodProbability","meanSpending","neighborhoodInfluenceClustered","avgSplurgeAmount","desireClustered","neighborhoodInfluence","maxIncome","meanConsumerDesire","maxBankerAssets","numYears","meanAssets"
1,1,0.5,12,20000.0,200000,0.1,0.5,5,200,0.04,0.5,"false",10000,"false",0.5,30000.0,0.5,300000,20,0.5
3,3,0.5,12,20000.0,200000,0.1,0.5,5,200,0.04,0.5,"false",10000,"false",0.5,30000.0,0.5,300000,20,0.5
5,5,0.5,12,20000.0,200000,0.1,0.5,5,200,0.04,0.5,"false",10000,"false",0.5,30000.0,0.5,300000,20,0.5
7,7,0.5,12,20000.0,200000,0.1,0.5,5,200,0.04,0.5,"false",10000,"false",0.5,30000.0,0.5,300000,20,0.5
9,9,0.5,12,20000.0,200000,0.1,0.5,5,200,0.04,0.5,"false",10000,"false",0.5,30000.0,0.5,300000,20,0.5
11,11,0.5,12,20000.0,200000,0.1,0.5,5,200,0.04,0.5,"false",10000,"false",0.5,30000.0,0.5,300000,20,0.5
13,13,0.5,12,20000.0,200000,0.1,0.5,5,200,0.04,0.5,"false",10000,"false",0.5,30000.0,0.5,300000,20,0.5
15,15,0.5,12,20000.0,200000,0.1,0.5,5,200,0.04,0.5,"false",10000,"false",0.5,30000.0,0.5,300000,20,0.5
2,2,0.5,12,20000.0,200000,0.1,0.5,5,200,0.04,0.5,"false",10000,"false",0.5,30000.0,0.5,300000,20,0.5
4,4,0.5,12,20000.0,200000,0.1,0.5,5,200,0.04,0.5,"false",10000,"false",0.5,30000.0,0.5,300000,20,0.5
6,6,0.5,12,20000.0,200000,0.1,0.5,5,200,0.04,0.5,"false",10000,"false",0.5,30000.0,0.5,300000,20,0.5
8,8,0.5,12,20000.0,200000,0.1,0.5,5,200,0.04,0.5,"false",10000,"false",0.5,30000.0,0.5,300000,20,0.5
10,10,0.5,12,20000.0,200000,0.1,0.5,5,200,0.04,0.5,"false",10000,"false",0.5,30000.0,0.5,300000,20,0.5
12,12,0.5,12,20000.0,200000,0.1,0.5,5,200,0.04,0.5,"false",10000,"false",0.5,30000.0,0.5,300000,20,0.5
14,14,0.5,12,20000.0,200000,0.1,0.5,5,200,0.04,0.5,"false",10000,"false",0.5,30000.0,0.5,300000,20,0.5
